,City,State,Country,Population,Latitude,Longitude,Housing,Cost of Living,Travel Connectivity,Commute,Education,Total Score
0,Boise,ID,US,145987,43.6135,-116.20345,6.9635,6.578,1.3235,5.2250000000000005,3.6245,23.7145
1,Oklahoma City,OK,US,631346,35.46756,-97.51643,7.261000000000001,6.394,1.399,5.0272499999999996,3.6245,23.705750000000002
2,Des Moines,IA,US,210330,41.60054,-93.60911,6.850999999999999,6.327,1.379,2.0722500000000004,3.6245,20.25375
3,Phoenix,AZ,US,1563025,33.44838,-112.07404,6.5329999999999995,6.208,3.3024999999999998,4.828500000000001,4.590999999999999,25.463
4,Salt Lake City,UT,US,192672,40.76078,-111.89105,6.141000000000001,6.172000000000001,2.736999999999999,4.573999999999999,4.2805,23.9045
