,City,State,Country,Population,Latitude,Longitude,Housing,Cost of Living,Travel Connectivity,Commute,Education
0,Los Angeles,CA,US,3971883,34.05223,-118.24368,1.5274999999999999,4.556000000000001,3.9585000000000004,3.6770000000000005,8.6245
1,Boston,MA,US,667137,42.35843,-71.05977,1.0,4.259,3.215,4.39625,8.6245
2,New York City,NY,US,8175133,40.71427,-74.00597,1.0,2.342,6.675,5.5192499999999995,8.0935
3,Newark,NJ,US,281944,40.73566,-74.17237,1.0,2.342,6.675,5.5192499999999995,8.0935
4,Chicago,IL,US,2720546,41.85003,-87.65005,3.7020000000000004,4.766000000000001,5.5075,4.57975,7.999
