,City,State,County,FIPS,Country,Population,Latitude,Longitude,Teleport Housing Score,Teleport Cost of Living Score,Teleport Startups Score,Teleport Venture Capital,Teleport Travel Connectivity,Teleport Commute Score,Teleport Business Freedom Score,Teleport Safety Score,Teleport Healthcare Score,Teleport Education Score,Teleport Environmental Quality Score,Teleport Economy Score,Teleport Taxation Score,Teleport Internet Access Score,Teleport Leisure & Culture Score,Total Score
32,Albuquerque,NM,Bernalillo,35001,US,559121,35.08449,-106.65114,7.262,6.059,3.772,1.493,1.4555,5.05575,8.671,1.3435,8.508666667,4.152,7.3195,6.5145,4.346,5.396,4.89,61.05291667
33,Las Vegas,NV,Clark,32003,US,623747,36.17497,-115.13722,7.001,5.759,7.515,2.022,3.5285,4.8075,8.671,2.385,7.984666667,3.6245,5.5565,6.5145,4.772,5.3035,6.3685,66.62766667
34,New York City,NY,New York,36061,US,8175133,40.71427,-74.00597,1,2.342,10,10,6.675,5.51925,8.671,7.022,8.501666667,8.0935,5.23375,6.5145,3.9205,7.0985,10,85.40616667
35,Columbus,OH,Franklin,39049,US,850106,39.96118,-82.99879,6.2895,5.746,5.8785,4.973,1.663,5.02675,8.671,5.2815,8.689,5.0475,8.166,6.5145,3.9205,4.5535,6.466,71.70075
36,Oklahoma City,OK,Oklahoma,40109,US,631346,35.46756,-97.51643,7.261,6.394,4.1375,0,1.399,5.02725,8.671,4.6855,8.549,3.6245,7.61525,6.5145,4.204,7.689,5.376,65.962
37,Portland,OR,Multnomah,41051,US,632309,45.52345,-122.67621,4.138,4.924,6.957,5.899,2.2405,4.908,8.671,5.1805,8.596666667,4.2155,8.4595,6.5145,3.9205,5.9685,6.2195,71.62716667
38,Philadelphia,PA,Philadelphia,42101,US,1567442,39.95233,-75.16379,4.207,4.422,7.3625,5.216,3.556,4.1315,8.671,3.133,8.621666667,6.0285,5.124,6.5145,3.7785,7.443,8.492,71.51566667
39,Providence,RI,Providence,44007,US,179207,41.82399,-71.41283,3.153,0,3.764,1,3.0185,2.422,8.671,6.846,8.885333333,5.3015,5.9005,6.5145,4.204,8.9345,3.9185,57.34783333
40,Columbia,SC,Richland,45079,US,133803,34.00071,-81.03481,,,,,,,,,,,,,,,,0
41,Sioux Falls,SD,Minnehaha,46099,US,171544,43.54997,-96.70033,,,,,,,,,,,,,,,,0
42,Memphis,TN,Shelby,47157,US,655770,35.14953,-90.04898,7.1145,5.829,4.4495,0,1.6615,1.9175,8.671,2.8585,7.523666667,3.6245,4.54525,6.5145,4.772,6.07,6.8605,57.22641667
43,Houston,TX,Harris,48201,US,2296224,29.76328,-95.36327,5.2245,6.162,7.9345,4.474,4.3385,4.03075,8.671,3.129,8.611,4.928,5.3045,6.5145,4.772,6.2485,7.144,72.30125
44,Salt Lake City,UT,Salt Lake,49035,US,192672,40.76078,-111.89105,6.141,6.172,6.3,7.09,2.737,4.574,8.671,5.657,8.818666667,4.2805,6.21575,6.5145,4.204,6.8105,5.932,74.93241667
45,Virginia Beach,VA,Virginia Beach City,51810,US,452745,36.85293,-75.97799,,,,,,,,,,,,,,,,0
46,Burlington,VT,Chittenden,50007,US,42452,44.47588,-73.21207,,,,,,,,,,,,,,,,0
47,Seattle,WA,King,53033,US,684451,47.60621,-122.33207,2.291,3.79,8.367,7.551,2.8845,4.52375,8.671,5.6365,8.724333333,5.7145,7.56025,6.5145,4.772,4.9405,8.1155,74.87083333
48,Milwaukee,WI,Milwaukee,55079,US,600155,43.0389,-87.90647,6.1225,5.526,4.8305,2.005,1.5875,4.915,8.671,4.267,8.594333333,4.177,7.989,6.5145,4.204,4.346,6.8375,65.40133333
49,Charleston,WV,Kanawha,54039,US,49736,38.34982,-81.63262,,,,,,,,,,,,,,,,0
50,Cheyenne,WY,Laramie,56021,US,63335,41.13998,-104.82025,,,,,,,,,,,,,,,,0
