,City,State,Country,Population,Latitude,Longitude,Housing,Cost of Living,Travel Connectivity,Commute,Education,Total Score
0,Portland,ME,US,66881,43.65737,-70.2589,0.0,0.0,1.1019999999999999,1.97025,3.6245,6.69675
1,Providence,RI,US,179207,41.82399,-71.41283,3.1530000000000005,0.0,3.0185,2.422,5.3015,13.895
2,Honolulu,HI,US,371657,21.30694,-157.85833,2.3415000000000004,2.867,1.983,4.1617500000000005,4.2805,15.633750000000003
3,Jacksonville,FL,US,868031,30.33218,-81.65565,6.450000000000001,5.359,1.5674999999999997,1.40575,3.6245,18.40675
4,Anchorage,AK,US,298695,61.21806,-149.90028,5.433500000000001,3.141,1.7379999999999998,4.715249999999999,3.6245,18.65225
