,City,State,Country,Population,Latitude,Longitude,Housing,Cost of Living,Travel Connectivity,Commute,Education,Total Score
0,Detroit,MI,US,677116,42.33143,-83.04575,6.223000000000001,6.032,3.6405,0.9329999999999999,5.8185,22.647000000000002
1,Jacksonville,FL,US,868031,30.33218,-81.65565,6.450000000000001,5.359,1.5674999999999997,1.40575,3.6245,18.40675
2,Memphis,TN,US,655770,35.14953,-90.04898,7.1145000000000005,5.829,1.6615000000000002,1.9175,3.6245,20.147000000000002
3,Portland,ME,US,66881,43.65737,-70.2589,0.0,0.0,1.1019999999999999,1.97025,3.6245,6.69675
4,Kansas City,MO,US,475378,39.09973,-94.57857,6.7075,5.844,1.8689999999999998,1.9725000000000004,3.6245,20.017500000000002
