,County,County Code,Deaths sum,summed_crude_rate,summed_adjusted_rate
665,"Hamilton County, OH",39061,78.0,9.541599539067345,9.718295152785005
666,"Jefferson County, OH",39081,11.0,16.8388825105243,
668,"Lake County, OH",39085,27.0,11.731530443321502,
669,"Licking County, OH",39089,16.0,9.046601304972238,
671,"Lorain County, OH",39093,36.0,11.619162581132418,11.291862665678302
673,"Lucas County, OH",39095,45.0,10.505476855267213,9.816592695915936
675,"Mahoning County, OH",39099,22.0,9.620304089066524,
676,"Medina County, OH",39103,17.0,9.457790437617527,
678,"Montgomery County, OH",39113,71.0,13.353721268340209,11.93979792420412
679,"Portage County, OH",39133,14.0,8.617187596173968,
681,"Stark County, OH",39151,51.0,13.761245095870008,12.481128662591589
683,"Summit County, OH",39153,60.0,11.090306517588303,11.284873878452817
684,"Trumbull County, OH",39155,13.0,6.566518835806722,
686,"Warren County, OH",39165,26.0,11.08259946633021,
687,"Wayne County, OH",39169,12.0,10.370754472387866,
688,"Canadian County, OK",40017,13.0,8.765660189068548,
690,"Cleveland County, OK",40027,43.0,15.140098727527517,14.481834624823955
691,"Creek County, OK",40037,10.0,13.981711920807584,
694,"Oklahoma County, OK",40109,143.0,17.93251855325958,
695,"Rogers County, OK",40131,10.0,10.81560475453985,
698,"Tulsa County, OK",40143,86.0,13.199253474780216,13.903214562226708
700,"Clackamas County, OR",41005,52.0,12.434628527429117,11.360030899715765
702,"Deschutes County, OR",41017,25.0,12.64593407927483,
704,"Douglas County, OR",41019,33.0,29.735087403135704,27.632606117590893
707,"Jackson County, OR",41029,52.0,23.53537547975958,
709,"Klamath County, OR",41035,21.0,30.77464169524312,
711,"Lane County, OR",41039,77.0,20.153533280812006,18.554046607830433
712,"Linn County, OR",41043,10.0,7.707188494709015,
714,"Marion County, OR",41047,33.0,9.487720589503706,9.3241388295215
719,"Multnomah County, OR",41051,133.0,16.362081798106672,
721,"Washington County, OR",41067,62.0,10.305988111544035,9.651639699019636
725,"Allegheny County, PA",42003,159.0,13.075174027276951,11.318808053181915
726,"Beaver County, PA",42007,11.0,6.710222108351787,
728,"Berks County, PA",42011,38.0,9.022613518724297,
729,"Blair County, PA",42013,11.0,9.029048912820429,
731,"Bucks County, PA",42017,75.0,11.937542776194947,10.74378892549525
732,"Butler County, PA",42019,12.0,6.387973575082644,
733,"Centre County, PA",42027,13.0,8.005665547926224,
735,"Chester County, PA",42029,41.0,7.809687441070194,
736,"Clearfield County, PA",42033,12.0,15.141000567787522,
737,"Columbia County, PA",42037,14.0,21.550397143033063,
739,"Dauphin County, PA",42043,28.0,10.06112131197022,
742,"Delaware County, PA",42045,63.0,11.116071192260392,10.18973148452571
744,"Erie County, PA",42049,30.0,11.122315814450113,
745,"Fayette County, PA",42051,16.0,12.376812042638118,
746,"Franklin County, PA",42055,16.0,10.320782831377759,
747,"Lackawanna County, PA",42069,17.0,8.107824527599988,
749,"Lancaster County, PA",42071,45.0,8.245926512302923,7.5809325814223545
750,"Lawrence County, PA",42073,12.0,14.033118158854897,
751,"Lebanon County, PA",42075,11.0,7.757787761031928,
752,"Lehigh County, PA",42077,20.0,5.415387281421431,4.312252847160852
754,"Luzerne County, PA",42079,54.0,17.012321331245648,14.318704327938883
755,"Mercer County, PA",42085,14.0,12.794268167860798,
758,"Montgomery County, PA",42091,89.0,10.71108356450419,9.313986041358598
759,"Northampton County, PA",42095,10.0,3.2756276921565095,
763,"Philadelphia County, PA",42101,141.0,8.901155508868328,
764,"Schuylkill County, PA",42107,18.0,12.73353659830644,
766,"Washington County, PA",42125,32.0,15.469025693084863,12.917434596123321
767,"Wayne County, PA",42127,10.0,19.47002589513444,
769,"Westmoreland County, PA",42129,45.0,12.897715384681527,9.673286538511146
772,"York County, PA",42133,60.0,13.361302994268001,12.359205428977045
774,"Providence County, RI",44007,40.0,6.2604569194482655,
775,"Aiken County, SC",45003,22.0,12.875134603679948,12.17648432302678
776,"Anderson County, SC",45007,25.0,12.342143978514795,11.43905966271933
777,"Beaufort County, SC",45013,12.0,6.246031167695527,
778,"Berkeley County, SC",45015,28.0,12.285713032070099,12.08594553100504
780,"Charleston County, SC",45019,52.0,12.639582310418417,12.065054882918544
782,"Greenville County, SC",45045,64.0,12.224425165507256,12.094378833413794
784,"Horry County, SC",45051,40.0,11.29685015575532,9.643652801908845
785,"Kershaw County, SC",45055,15.0,22.539105347778396,
786,"Lexington County, SC",45063,31.0,10.376569037656905,9.578372085443602
787,"Pickens County, SC",45077,17.0,13.398064373758709,
789,"Richland County, SC",45079,49.0,11.78567391205001,11.314246702674883
791,"Spartanburg County, SC",45083,45.0,14.071954594493176,13.426452144023553
793,"York County, SC",45091,41.0,14.59183782417903,14.308501327836574
794,"Minnehaha County, SD",46099,12.0,6.213302681040107,
795,"Pennington County, SD",46103,13.0,11.42606020654801,
796,"Bradley County, TN",47011,10.0,9.249838127832763,
797,"Coffee County, TN",47031,11.0,19.462137296532198,
798,"Cumberland County, TN",47035,10.0,16.523463317911435,
800,"Davidson County, TN",47037,59.0,8.499677300387239,8.130126708141995
801,"Dickson County, TN",47043,10.0,18.536368354711946,
803,"Hamilton County, TN",47065,54.0,14.681732661961261,13.373458969256102
806,"Knox County, TN",47093,60.0,12.75746152030669,
807,"Maury County, TN",47119,11.0,11.412327388548249,
809,"Montgomery County, TN",47125,27.0,12.91909298397554,
810,"Putnam County, TN",47141,10.0,12.461835628388062,
812,"Rutherford County, TN",47149,40.0,12.037859066764977,12.181167801146472
813,"Sevier County, TN",47155,12.0,12.213740458015266,
816,"Shelby County, TN",47157,92.0,9.816830742899336,9.510054197055023
818,"Sullivan County, TN",47163,27.0,17.05105211306742,
819,"Sumner County, TN",47165,16.0,8.364569773581552,
820,"Williamson County, TN",47187,20.0,8.388839487945239,7.689769697287735
821,"Wilson County, TN",47189,18.0,12.443227773284391,
822,"Anderson County, TX",48001,13.0,22.516670996795703,
824,"Bell County, TX",48027,55.0,15.15468803385833,14.832247901363038
826,"Bexar County, TX",48029,208.0,10.381551982127759,10.381551982127759
827,"Bowie County, TX",48037,14.0,15.014209877205213,
828,"Brazoria County, TX",48039,19.0,5.076630399931599,
829,"Cameron County, TX",48061,10.0,2.363155568894256,
833,"Collin County, TX",48085,86.0,8.311346921419114,8.800249156966835
835,"Comal County, TX",48091,35.0,22.405879302729037,21.904256893317402
839,"Dallas County, TX",48113,243.0,9.220205834455188,9.220205834455188
841,"Denton County, TX",48121,88.0,9.918767548046848,9.613574718605548
842,"Ector County, TX",48135,10.0,6.016014630947582,
846,"El Paso County, TX",48141,86.0,10.247391085723002,10.49137810020162
849,"Fort Bend County, TX",48157,60.0,7.39200283852909,7.39200283852909
852,"Galveston County, TX",48167,43.0,12.567991371927784,
853,"Grayson County, TX",48181,16.0,11.74639532493466,
854,"Gregg County, TX",48183,12.0,9.681713663318408,
860,"Harris County, TX",48201,466.0,9.886863307749838,
861,"Hays County, TX",48209,13.0,5.647484045857571,
862,"Henderson County, TX",48213,12.0,14.503789114906269,
864,"Hidalgo County, TX",48215,47.0,5.410339734801262,5.7593942233188065
866,"Jefferson County, TX",48245,34.0,13.515393635839644,13.515393635839644
867,"Johnson County, TX",48251,14.0,7.9628249827946105,
868,"Kaufman County, TX",48257,11.0,8.07908691628597,
869,"Liberty County, TX",48291,11.0,12.468969269658464,
871,"Lubbock County, TX",48303,43.0,13.845554450057797,13.845554450057797
872,"McLennan County, TX",48309,27.0,10.521270501864603,10.721675642335994
874,"Montgomery County, TX",48339,77.0,12.677171706528414,12.83367839467876
876,"Nueces County, TX",48355,51.0,14.076965116728404,13.786718395990654
877,"Parker County, TX",48367,14.0,9.798569408866307,
878,"Potter County, TX",48375,16.0,13.62687901886471,
879,"Randall County, TX",48381,20.0,14.522957164537843,13.721690132523543
881,"Smith County, TX",48423,42.0,18.045035252265293,17.909357737479944
885,"Tarrant County, TX",48439,227.0,10.796593603375007,
886,"Tom Green County, TX",48451,10.0,8.389261744966444,
891,"Travis County, TX",48453,146.0,11.460382399992465,11.709521088419082
892,"Victoria County, TX",48469,10.0,10.85964988488771,
894,"Williamson County, TX",48491,59.0,9.990669730472051,10.137591484270834
896,"Davis County, UT",49011,39.0,10.971050492150074,
901,"Salt Lake County, UT",49035,225.0,19.389247326653667,19.8621553470348
904,"Utah County, UT",49049,79.0,12.416795680841199,12.945171382342583
905,"Washington County, UT",49053,10.0,5.632025952375589,
908,"Weber County, UT",49057,42.0,16.140623258638115,
911,"Chesterfield County, VA",51041,38.0,10.770913997086184,
914,"Fairfax County, VA",51059,65.0,5.664330057898168,5.097896917060199
915,"Henrico County, VA",51087,14.0,4.231934175286713,
